Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
JOHNNY L i B e R t Y 🍊 🇺🇸 🍊 🇺🇸,Fight2B_Free,4/9/2024,20:24:54+00:00,"Democrats are in NO position to virtue signal about the Arizona Supreme Court’s ruling on abortion today. 

If you can justify killing a perfectly healthy baby at birth, sit down. Sit all the way down. 

A message to Republicans. Usually when the left starts screaming, you guys… https://t.co/22FtaTL0ge",7,2,0,0,128,0
Alexis🇨🇦 🇺🇸 雷媚是皇帝的宠儿。她是他心爱的玫瑰。 🌹,ABTudorQueen,4/9/2024,20:24:48+00:00,I'm on the podcast with Occupy Democrats on what Arizona did today. Wow these Maga people are ignorant. They're mad. Don't make sense.,0,0,0,0,19,0
Anthony Petrosino,ajpetrosino,4/9/2024,20:24:13+00:00,Abortion is now a felony in Arizona. Those who help perform one or help someone get one in Arizona can be punished with up to five years in prison.,1,0,0,0,30,0
Tyler Cole🌵,ArizonaWildbags,4/9/2024,20:23:58+00:00,"Man there are some crazy reactions to Tommy Lloyd still and certain players. Be all in or not at all! BTFD til we die or get off the ride that is Arizona Basketball. When Arizona wins it all again one day, you’re not invited to the parade 😂",21,3,6,0,1545,1
Rhonda Bannard 🇨🇦 🇺🇸 🌻🌎,rhondabannard,4/9/2024,20:23:49+00:00,"So #Arizona has the most innovative chip makers, yet the oldest laws for women. 

#AbortionRights #healthcare #womensrights",0,0,0,0,16,0
Jeff Jones,jmjones,4/9/2024,20:23:46+00:00,"Willson Contreras said he still has some pain while swinging and hasn’t been able to squeeze his glove to catch yet, but he feels strong enough to hit. He’s hopeful he can catch at some point in Arizona.",46,1,1,3,7700,0
scot ross,rossacrosswi,4/9/2024,20:23:33+00:00,"Your reminder @RepBryanSteil supports:
❌ Arizona’s pre-Civil War era abortion ban
❌ Wisconsin’s pre-Civil War abortion ban
❌ Criminalizing IVF
❌ Forcing teenage rape victims to bear their rapist’s child
❌ National abortion ban

Save Your Rights.
Stop the Steil.",2,0,0,0,206,0
Marshall,mondayaches,4/9/2024,20:23:08+00:00,I am calling it now. Democrats are going to win Arizona. Democrats are going to win because the Republican Party has nominated crazy people and has a serious out of touch policy when it comes to abortion. It's 2022 all over again.,1,0,0,0,11,0
Trevor Nelson,CTrevorNelson,4/9/2024,20:22:38+00:00,Arizona could expand the AZ Supreme Court… again…,3,0,0,0,154,0
Pamela,pamaroonie,4/9/2024,20:22:36+00:00,I’m absolutely ashamed of my state right now. Fuck you Arizona Supreme Court.,2,0,1,0,45,0
Zach White,ztwhite23,4/9/2024,20:22:28+00:00,"Arizona trying to keep pace with Florida and Texas for the most fucked up states. Ohio isn’t too far behind, either. #VoteBlue 💙",0,0,0,0,11,0
Paulette Feeney,PauletteParis1,4/9/2024,20:22:26+00:00,"Hey, Arizona!
Welcome to the War on Women! 
You can run your Civil War law up the surrender flagpole. 
You lost then. You will lose now.",104,31,8,0,3921,0
UNILAG FM 103.1 Music,UnilagfmMusic,4/9/2024,20:22:17+00:00,"NIGHT TRAIN
inthemix with @djdaposta
👉🏾:arizona-@Lojaymusic ft @Olamide",0,0,0,0,11,0
Tom Pappert,realTomPappert,4/9/2024,20:22:14+00:00,How come the Arizona Supreme Court wouldn't act on any of the lawsuits alleging massive voter fraud but will act to protect an 1868 abortion law just in time to help Democrats win the election?,13,6,3,1,426,0
❁reilly❁,reiIIyrae,4/9/2024,20:22:13+00:00,FUCK ARIZONA &amp; FUCK THIS ABORTION BAN IM SICK,1,0,0,0,61,0
Linda McCann Jeffers,LMcCJ,4/9/2024,20:22:07+00:00,How many rapists currently sit on the Arizona Supreme Court?,0,0,0,0,23,0
Megan Bowers,livingpink12,4/9/2024,20:21:32+00:00,Hey #Arizona...now do Viagra and men's reproductive health!  Don't have the balls for that do you??,0,0,0,0,10,0
Breaking News 🌍🚨,NewsBreak1ng,4/9/2024,20:21:16+00:00,"#USA 🇺🇸

🔴 Arizona Supreme Court rules in favor of near-total abortion ban from 1864, reversing an appellate court decision that allowed abortion.",0,0,0,0,1,0
DDG,WillDdg,4/9/2024,20:21:12+00:00,Thank you Arizona for giving us a republican shit show confused abortion mayhem for all woman! Just months  before the election. Vote blue! To FINISH THEM! Take no prisoners!,0,0,0,0,16,0
Arizona Informer,AZInformer,4/9/2024,20:20:58+00:00,"""Whats wrong? Trump is just saying abortion should be decided at the State level"" - Trump's @GOP yesterday

AZSupreme Court rules abortion is banned except for life of the mother.

""#Arizona's #ProLife ruling goes to far. We need to expand abortion access!"" - Trump's GOP today",4,0,1,0,104,0
The Civil Savage,islandpride808,4/9/2024,20:20:48+00:00,Fuck Arizona,3,0,0,0,55,0
charles moore,wokea55deadhead,4/9/2024,20:20:36+00:00,Abortion is the deciding issue it is the Democracy issue of the 2024 election what happened today in Arizona will continue to happen around the country making this a wave election like no one has ever seen. The MSM has not wrapped its head around the salience of this issue,0,0,0,0,21,0
Davidson King,DavidsonKing11,4/9/2024,20:20:32+00:00,What the h3ll are you doing Arizona?,0,0,0,0,51,0
mash j gives free readings🔮,iammashj,4/9/2024,20:20:27+00:00,"Arizona's SC affirmed a total abortion right out of 1864.  They weren't even a state until 1912. I'll wait to see what the legal scholars say about this. In the meantime, let Republicans like Kari Lake and Donald Trump own this shit.",10,5,2,0,409,0
MisanthropicHumanist,mikesmoniz,4/9/2024,20:20:26+00:00,"United States of America, -*Land of the Free! 

* not applicable to women in Arizona and the reproductive rights

🤨",0,0,0,0,29,0
GHOST,MN_wolf_,4/9/2024,20:20:16+00:00,"It’s disturbing to me that people are OUTRAGED that they can’t KILL a baby. If it’s rape/incest (1% of abortions), you are free to travel to a different state. God help us that people actually are upset over this. Please reflect on what you are actually saying  #arizona #abortion",0,0,0,0,23,0
strig,15_steph_,4/9/2024,20:20:16+00:00,Arizona W,0,0,0,0,17,0
Isaac Spaceman,IsaacSpaceman,4/9/2024,20:20:14+00:00,"Arizona's resurrection of a Civil War abortion ban today is why it's important to repeal Prop 8 in California in November. Otherwise, if the Supreme Court reverses Obergefell, which it will, then Prop 8 comes back to life.",0,1,0,0,75,0
Common Sence 101,Basicsence101,4/9/2024,20:20:04+00:00,"Arizona has a ban after the first 4 months of pregnancy and an exception for the life of the mother.

I agree with Joe Biden, you should be able to kill your baby at any time for any reason up to 9 months.",0,0,0,0,10,0
The News Deak,TheNewsDeskLive,4/9/2024,20:20:00+00:00,"Arizona Supreme Court upholds 1864 law banning abortion under every circumstance, this comes after the Trump-appointed judges on Supreme Court overturned Roe v. Wade last year #RoeVsWade",0,0,0,0,26,0
Charles Campisi,1813Doncarlo,4/9/2024,20:19:43+00:00,The Arizona Supreme Court's ruling that upholds an 1864 law banning virtually all abortion has just put Arizona in the winning column for Ores. Biden.,7,0,1,0,88,0
major shake,pnutfinger,4/9/2024,20:19:38+00:00,Hey I know I'm just a stupid guy but how the hell does Arizona have laws that predate the state by like 50 years,0,0,1,0,69,0
Paull kenny,paullkenny1,4/9/2024,20:19:27+00:00,"Woe to anyone who calls evil good, and good evil. #Arizona",0,0,0,0,8,0
Gretchen Whitmer,gretchenwhitmer,4/9/2024,20:19:16+00:00,"Last year, Michigan repealed an abortion ban to ensure women and their doctors are able to make decisions about their bodies without politicians and judges getting in the way.

Watching what we worked so hard to repeal in our state come to fruition in Arizona is horrifying.",1728,467,186,17,25625,10
artemisia,bugxeyez,4/9/2024,20:19:15+00:00,as a woman in arizona what do i do now,2,0,1,0,39,0
Turn America Solid Blue ASAP #VoteForBiden 💙🧩🌎∞,JoeRobinEnjoyer,4/9/2024,20:19:12+00:00,Trump owns the abortion ban in Arizona. He supports it.,65,18,1,2,696,1
Fight the Evil Right,FightEvilRight,4/9/2024,20:19:03+00:00,"I wish there was a rapture during the eclipse so these people would leave the earth. They are an anchor on our society dragging us back to the 1800’s. 

Fuck Arizona and anyone who agrees with their policy.",0,0,0,0,15,0
Garrett Nolan,garrettnolan,4/9/2024,20:18:57+00:00,"The best part about being in Arizona for the last week is that they haven’t given up on Styrofoam yet. Your coffee and food always stays hot unlike the cardboard or biodegradable nonsense you get in California, that people still just throw out anyway.",1,0,1,0,109,0
Rob Bonta,AGRobBonta,4/9/2024,20:18:56+00:00,"Make no mistake, the Arizona Supreme Court’s unconscionable ruling is the result of a concerted effort by anti-abortion extremists to strip away the fundamental rights of women. 
 
To Arizona women scared today, I promise: if you seek care in CA, you will be protected here.",35,8,18,1,1654,1
Patrick Mulhall,PatrickMulhal29,4/9/2024,20:18:46+00:00,Arizona total abortion ban has now come into force. It doesn't have exception for rape or incest. This is Donald Trump fault.,0,0,0,0,48,0
Daniel Greenbaum,dgreenbaum225,4/9/2024,20:18:35+00:00,Who are these clowns on the Arizona bench?,1,0,0,0,14,0
Cooder,cooderbuck,4/9/2024,20:18:29+00:00,"Well, fuck arizona.",0,0,0,0,11,0
